"Source:","C:\Users\veraf\Documents\VeraProjects\KXR\powerBoard\KiCad\KXRPowerBoardV2\KXRPowerBoardV2.kicad_sch"
"Date:","1/25/2023 4:23:05 PM"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","138"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","COLOR","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","3V3","3V3","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","5V1","5V","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","BATT1","BATT","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","~","","","","",""
"","","BOOT1","BOOT0","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:MagneticBuzzer_PUI_AT-0927-TT-6-R","~","","","","",""
"","","C1","110pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C2","100pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C3","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","",""
"","","C4","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","",""
"","","C5","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"","","C6","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"","","C7","47pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C8","220uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","",""
"","","C9","220uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","",""
"","","C10","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","",""
"","","C11","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C12","10pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C13","10pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C14","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C15","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C16","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C17","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C18","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C19","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C20","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C21","10nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C22","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C23","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C24","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C25","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C26","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C27","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C28","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C29","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"","","C30","10uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","",""
"","","C31","6.8nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C32","10uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","",""
"","","C33","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"","","C34","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"","","C35","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C36","10pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"","","C37","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"","","C38","22uF","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","",""
"","","CAN1","CAN","Connector:Conn_01x03_Male","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","",""
"","","FB1","120","Device:FerriteBead_Small","Inductor_SMD:L_0603_1608Metric","~","","","","",""
"","","J1","NOSECONE","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","J2","EXPERIMENTS","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","J3","CAMERA","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","J4","AVIONICS","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","J5","AUX","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","J6","12V","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","JP1","TERMINATION","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","",""
"","","L1","2.2uH","pspice:INDUCTOR","Footprints:XAL7070-222MEC","~","","","","",""
"","","L2","2.2uH","pspice:INDUCTOR","Footprints:XAL7070-222MEC","~","","","","",""
"","","L3","4.7uH","pspice:INDUCTOR","Footprints:MGAH06034R7M","~","","","","",""
"","","LED1","STAT1","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","GREEN","","","",""
"","","LED2","STAT2","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","GREEN","","","",""
"","","LED3","FET4","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED4","FET2","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED5","5V","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","RED","","","",""
"","","LED6","3V3","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","RED","","","",""
"","","LED7","FET1","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED8","FET3","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED9","FET5","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","Q3","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q4","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q5","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q9","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
